"id","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","basket_value","recency_days","cluster0","cluster1","cluster2","cluster3","cluster4","low_value_basket","medium_value_basket","high_value_basket"
2810,,,,,,,,,,,"Yes","Yes",,5.8,74,,,"Yes",,,,"Yes",
2812,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
2813,,,,,,,,"Yes",,,,,,1.5,70,,,"Yes",,,"Yes",,
2815,,,"Yes",,"Yes",,,,,,,,,3.4,45,,,,"Yes",,,"Yes",
2816,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
2818,,,,,,,,,,,,,"Yes",5.1,47,,,,"Yes",,,"Yes",
2820,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2824,,,,,"Yes",,,,,,,,,2.2,69,,,"Yes",,,"Yes",,
2825,,,,,,,"Yes",,,,,"Yes",,3.1,29,,,,"Yes",,,"Yes",
2826,,,,"Yes",,"Yes",,,,"Yes",,,,6,19,"Yes",,,,,,,"Yes"
2827,,,,,"Yes",,,,,,,,,2.2,61,,,"Yes",,,"Yes",,
2830,,,,,"Yes","Yes",,,"Yes",,,"Yes",,11.9,22,"Yes",,,,,,,"Yes"
2831,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2832,,,,,,,,,"Yes",,"Yes",,,9,74,,"Yes",,,,,,"Yes"
2834,"Yes","Yes",,,"Yes",,,,,,,,,5.4,53,,,"Yes",,,,"Yes",
2835,,,,,,,,,"Yes",,,,,4.9,40,,,,"Yes",,,"Yes",
2836,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2837,,,"Yes",,,,,,,,"Yes",,,5.3,74,,,"Yes",,,,"Yes",
2839,"Yes",,"Yes",,,,,,,,,,,2.3,62,,,"Yes",,,"Yes",,
2841,,,,,,,,,,,,"Yes",,1.7,66,,,"Yes",,,"Yes",,
2842,,,,,,"Yes",,,,,,,,3.1,48,,,,"Yes",,,"Yes",
2843,,"Yes",,"Yes","Yes","Yes",,"Yes",,,,,,10.2,24,"Yes",,,,,,,"Yes"
2846,,,,,"Yes",,,,,,,,,2.2,71,,,"Yes",,,"Yes",,
2848,,,"Yes",,"Yes",,,,"Yes","Yes",,"Yes",,11.6,25,"Yes",,,,,,,"Yes"
2849,,,"Yes",,"Yes",,,,,"Yes",,,,5,51,,,,"Yes",,,"Yes",
2851,,,"Yes",,"Yes",,,"Yes",,,,,,4.9,43,,,,"Yes",,,"Yes",
2853,,"Yes",,,,,,,,,,,,2.1,71,,,"Yes",,,"Yes",,
2854,,,,,,"Yes",,,,,,,,3.1,26,,,,"Yes",,,"Yes",
2855,,,,,,,,,,,"Yes",,,4.1,74,,,"Yes",,,,"Yes",
2857,"Yes",,,"Yes",,,,,,"Yes",,"Yes","Yes",10.8,9,"Yes",,,,,,,"Yes"
2859,,,,,,,,,,,,,"Yes",5.1,27,,,,"Yes",,,"Yes",
2861,,,,,,,,,,"Yes",,,,1.6,55,,,"Yes",,,"Yes",,
2863,,,,"Yes",,,,,,,,"Yes",,3,40,,,,"Yes",,,"Yes",
2864,"Yes",,"Yes",,,,,"Yes",,"Yes",,,,5.4,72,,,"Yes",,,,"Yes",
2865,,,,,"Yes",,,,,,,,,2.2,71,,,"Yes",,,"Yes",,
2866,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2869,,,"Yes",,"Yes",,,"Yes",,,,"Yes",,6.6,18,"Yes",,,,,,,"Yes"
2872,,,,,,,,"Yes",,,,,,1.5,57,,,"Yes",,,"Yes",,
2873,,,,,,,,"Yes",,,,,,1.5,59,,,"Yes",,,"Yes",,
2874,,,,,"Yes",,,,,,,,,2.2,53,,,"Yes",,,"Yes",,
2875,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2876,,,,,"Yes",,,,,,,,,2.2,75,,,"Yes",,,"Yes",,
2878,,,,,,,,,,,,,"Yes",5.1,37,,,,"Yes",,,"Yes",
2879,,,,,"Yes",,,,,,,,,2.2,57,,,"Yes",,,"Yes",,
2881,,"Yes",,"Yes","Yes",,,,,"Yes",,,"Yes",12.3,24,"Yes",,,,,,,"Yes"
2882,,,"Yes",,,,,,,,"Yes","Yes",,7,74,,"Yes",,,,,,"Yes"
2883,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2884,,,,,,,"Yes",,,,,"Yes",,3.1,49,,,,"Yes",,,"Yes",
2885,,,"Yes",,"Yes",,,,"Yes",,,,,8.3,20,"Yes",,,,,,,"Yes"
2886,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2887,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2888,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2889,,"Yes",,,,,,,,,,"Yes",,3.8,26,,,,"Yes",,,"Yes",
2891,,,,,,"Yes",,,,,,,,3.1,44,,,,"Yes",,,"Yes",
2893,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
2899,,,,"Yes",,,,,,,,,"Yes",6.4,15,"Yes",,,,,,,"Yes"
2900,,,"Yes","Yes",,,,,,,,,,2.5,71,,,"Yes",,,"Yes",,
2902,,,,,,,,,,,,"Yes",,1.7,62,,,"Yes",,,"Yes",,
2903,,,,,,,,,,"Yes",,,,1.6,54,,,"Yes",,,"Yes",,
2904,,,"Yes",,,,,,,"Yes",,,,2.8,27,,,,"Yes",,,"Yes",
2905,,,,,,,,,,,,"Yes",,1.7,51,,,,"Yes",,"Yes",,
2906,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
2907,,,,,,,,,,,,"Yes",,1.7,59,,,"Yes",,,"Yes",,
2908,,,,,,,,,,,,"Yes",,1.7,63,,,"Yes",,,"Yes",,
2909,,,"Yes",,,,,,,,,"Yes",,2.9,44,,,,"Yes",,,"Yes",
2910,,,"Yes","Yes",,,,"Yes",,"Yes",,,,5.6,51,,,,"Yes",,,"Yes",
2911,,,,"Yes",,,,,,"Yes",,,"Yes",8,16,"Yes",,,,,,,"Yes"
2912,,,,,,,,,,,,"Yes",,1.7,53,,,"Yes",,,"Yes",,
2918,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2922,,"Yes",,,,,,,,,,,,2.1,59,,,"Yes",,,"Yes",,
2923,,,,,,,,"Yes",,,,,,1.5,55,,,"Yes",,,"Yes",,
2926,,,,,"Yes",,,,,,,,"Yes",7.3,2,"Yes",,,,,,,"Yes"
2927,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
2928,"Yes",,,"Yes",,"Yes",,"Yes","Yes",,,,,11.9,9,"Yes",,,,,,,"Yes"
2929,,,,,,,,,,,,"Yes",,1.7,60,,,"Yes",,,"Yes",,
2931,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2933,,,,,,,,"Yes",,,,,,1.5,54,,,"Yes",,,"Yes",,
2937,,,,,,,,,,,,,"Yes",5.1,36,,,,"Yes",,,"Yes",
2938,,"Yes","Yes",,,,,,,,,,"Yes",8.4,23,"Yes",,,,,,,"Yes"
2939,,"Yes","Yes","Yes",,"Yes","Yes","Yes",,"Yes",,,"Yes",17.3,26,"Yes",,,,,,,"Yes"
2940,,,,,,,,,,,,"Yes",,1.7,63,,,"Yes",,,"Yes",,
2941,,,,,,,,,,,"Yes",,,4.1,74,,,"Yes",,,,"Yes",
2942,,,,,"Yes",,"Yes",,,,,,,3.6,42,,,,"Yes",,,"Yes",
2943,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
2944,,,"Yes",,,,,,,,"Yes","Yes",,7,74,,"Yes",,,,,,"Yes"
2946,,,,,,,,,"Yes",,,,,4.9,49,,,,"Yes",,,"Yes",
2947,,,,,"Yes",,,"Yes",,,,,,3.7,34,,,,"Yes",,,"Yes",
2948,,,"Yes","Yes","Yes",,,"Yes",,,,,"Yes",11.3,7,"Yes",,,,,,,"Yes"
2949,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
2951,,,"Yes","Yes",,,"Yes",,,,,"Yes",,5.6,57,,,"Yes",,,,"Yes",
2952,,,,,,,,,,,,"Yes","Yes",6.8,7,"Yes",,,,,,,"Yes"
2953,,,"Yes",,"Yes",,,,"Yes",,,,,8.3,4,"Yes",,,,,,,"Yes"
2954,,,"Yes","Yes","Yes",,,"Yes",,"Yes",,"Yes","Yes",14.6,23,"Yes",,,,,,,"Yes"
2955,,,"Yes","Yes",,,,,,"Yes",,,,4.1,29,,,,"Yes",,,"Yes",
2957,,"Yes","Yes",,,,,,,"Yes","Yes",,,9,74,,"Yes",,,,,,"Yes"
2960,,,,,,,,,,,,"Yes",,1.7,73,,,"Yes",,,"Yes",,
2961,,,,"Yes",,"Yes",,,,,,,,4.4,47,,,,"Yes",,,"Yes",
2962,,,"Yes",,"Yes",,,,,,,,,3.4,27,,,,"Yes",,,"Yes",
2963,,,"Yes","Yes",,,,,,,,"Yes",,4.2,50,,,,"Yes",,,"Yes",
2964,,,,,,,,"Yes",,,,,,1.5,58,,,"Yes",,,"Yes",,
2965,,,"Yes",,"Yes",,,,,"Yes",,,,5,29,,,,"Yes",,,"Yes",
2967,,,,,,,"Yes",,,,,"Yes",,3.1,51,,,,"Yes",,,"Yes",
2968,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
2969,,,"Yes","Yes",,,"Yes","Yes",,,,,"Yes",10.5,2,"Yes",,,,,,,"Yes"
2971,,,"Yes","Yes",,"Yes","Yes",,,"Yes",,,,8.6,7,"Yes",,,,,,,"Yes"
2972,,,"Yes","Yes",,"Yes",,,"Yes",,,,,10.5,14,"Yes",,,,,,,"Yes"
2973,,,"Yes",,"Yes","Yes",,,,,,,,6.5,18,"Yes",,,,,,,"Yes"
2974,,"Yes","Yes","Yes","Yes","Yes",,"Yes",,"Yes",,,"Yes",18.1,26,"Yes",,,,,,,"Yes"
2975,,,"Yes",,"Yes",,,,"Yes",,,,,8.3,11,"Yes",,,,,,,"Yes"
2976,,,,,,,,,,,"Yes",,,4.1,74,,,"Yes",,,,"Yes",
2980,,,,,,,,,,,,"Yes",,1.7,75,,,"Yes",,,"Yes",,
2981,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
2982,,,,"Yes",,,,,,,,"Yes",,3,33,,,,"Yes",,,"Yes",
2983,,"Yes","Yes","Yes","Yes","Yes",,"Yes",,,,,,11.4,22,"Yes",,,,,,,"Yes"
2985,"Yes",,,,"Yes","Yes","Yes","Yes",,,,,,9.3,26,"Yes",,,,,,,"Yes"
2986,"Yes","Yes",,,,,,,,,,,"Yes",8.3,22,"Yes",,,,,,,"Yes"
2988,"Yes","Yes","Yes","Yes",,,,,,,,,"Yes",10.8,7,"Yes",,,,,,,"Yes"
2989,"Yes","Yes",,,,,,,,,,,,3.2,42,,,,"Yes",,,"Yes",
2990,,,,"Yes",,,,,,,,"Yes",,3,50,,,,"Yes",,,"Yes",
2991,,,,,,,"Yes",,,,,"Yes",,3.1,48,,,,"Yes",,,"Yes",
2992,,,,"Yes",,,,,,"Yes",,,,2.9,36,,,,"Yes",,,"Yes",
2996,,,"Yes","Yes",,,,,,"Yes",,,"Yes",9.2,16,"Yes",,,,,,,"Yes"
2997,,,"Yes",,,,,,,,,,"Yes",6.3,10,"Yes",,,,,,,"Yes"
2999,,"Yes","Yes",,"Yes",,"Yes",,,"Yes",,,,8.5,1,"Yes",,,,,,,"Yes"
3000,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
3002,,,,,,,"Yes",,,"Yes",,"Yes",,4.7,44,,,,"Yes",,,"Yes",
3003,"Yes","Yes","Yes","Yes",,,"Yes","Yes",,"Yes",,,,10.2,9,"Yes",,,,,,,"Yes"
3005,,,,"Yes","Yes",,"Yes",,,,,,,4.9,34,,,,"Yes",,,"Yes",
3006,,,"Yes",,,,"Yes","Yes",,,,"Yes","Yes",10.9,20,"Yes",,,,,,,"Yes"
3008,"Yes","Yes",,,,,,,,,,,,3.2,26,,,,"Yes",,,"Yes",
3009,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3010,"Yes",,"Yes","Yes",,,,,,"Yes",,,"Yes",10.3,25,"Yes",,,,,,,"Yes"
3011,,,"Yes",,,,,,,,,,"Yes",6.3,21,"Yes",,,,,,,"Yes"
3012,,,,,,,,,,,,"Yes",,1.7,62,,,"Yes",,,"Yes",,
3013,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3016,,"Yes","Yes","Yes","Yes",,,"Yes",,,"Yes",,"Yes",17.5,74,,"Yes",,,,,,"Yes"
3017,,,,"Yes",,,,,,"Yes",,,,2.9,47,,,,"Yes",,,"Yes",
3018,,,"Yes","Yes","Yes",,,"Yes",,,,,,6.2,20,"Yes",,,,,,,"Yes"
3019,,,,"Yes","Yes",,,"Yes",,"Yes",,,,6.6,5,"Yes",,,,,,,"Yes"
3020,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
3021,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
3022,,,"Yes",,,,,,,"Yes",,,,2.8,27,,,,"Yes",,,"Yes",
3023,,"Yes",,"Yes",,,,,,,"Yes","Yes","Yes",14.3,74,,"Yes",,,,,,"Yes"
3024,,,,,,,,,,,,,"Yes",5.1,38,,,,"Yes",,,"Yes",
3026,,,,,,,,,,,,"Yes",,1.7,65,,,"Yes",,,"Yes",,
3027,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3028,,,,"Yes",,,"Yes","Yes",,,,,,4.2,50,,,,"Yes",,,"Yes",
3030,,,,,,,,,,"Yes",,,,1.6,64,,,"Yes",,,"Yes",,
3031,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
3032,,,"Yes","Yes","Yes",,,,,"Yes","Yes","Yes","Yes",17.2,74,,"Yes",,,,,,"Yes"
3033,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3036,,,,"Yes",,,"Yes",,"Yes",,,,,7.6,5,"Yes",,,,,,,"Yes"
3037,,"Yes",,,"Yes",,,,,,,,,4.3,45,,,,"Yes",,,"Yes",
3039,,,"Yes",,,,,"Yes",,,,,,2.7,75,,,"Yes",,,"Yes",,
3041,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3042,"Yes","Yes","Yes","Yes",,"Yes",,,"Yes","Yes",,,,15.3,18,"Yes",,,,,,,"Yes"
3043,,,,,,"Yes",,,,,,"Yes",,4.8,45,,,,"Yes",,,"Yes",
3044,"Yes",,"Yes",,,,"Yes",,,,,,,3.7,40,,,,"Yes",,,"Yes",
3045,,,,,,,,,,,,"Yes",,1.7,54,,,"Yes",,,"Yes",,
3046,"Yes","Yes","Yes","Yes",,"Yes",,"Yes",,,,"Yes","Yes",17.1,26,"Yes",,,,,,,"Yes"
3049,,"Yes","Yes","Yes",,,,,,,"Yes",,,8.7,74,,"Yes",,,,,,"Yes"
3050,,,,,"Yes",,,,,,,"Yes",,3.9,32,,,,"Yes",,,"Yes",
3051,,,,,,,,,,,,,"Yes",5.1,37,,,,"Yes",,,"Yes",
3052,,,"Yes","Yes",,,,,,,,,,2.5,61,,,"Yes",,,"Yes",,
3053,,,"Yes",,,,,,"Yes",,"Yes",,,10.2,74,,"Yes",,,,,,"Yes"
3054,,,,"Yes",,,,,,,,"Yes",,3,27,,,,"Yes",,,"Yes",
3055,,,"Yes",,,"Yes",,,,,,,,4.3,43,,,,"Yes",,,"Yes",
3056,,,,"Yes",,,,,"Yes",,,,,6.2,19,"Yes",,,,,,,"Yes"
3057,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3059,,,,"Yes","Yes",,"Yes",,"Yes","Yes",,"Yes","Yes",18.2,26,"Yes",,,,,,,"Yes"
3060,,"Yes",,,,,"Yes",,"Yes",,,,,8.4,8,"Yes",,,,,,,"Yes"
3062,,"Yes",,,,,,,,,,"Yes","Yes",8.9,7,"Yes",,,,,,,"Yes"
3064,,,"Yes",,,,"Yes",,,,,"Yes","Yes",9.4,25,"Yes",,,,,,,"Yes"
3066,,,"Yes",,"Yes",,,,,,,"Yes",,5.1,33,,,,"Yes",,,"Yes",
3067,,,"Yes","Yes",,"Yes",,,,,,,,5.6,55,,,"Yes",,,,"Yes",
3068,,,,,,,,"Yes",,,,,"Yes",6.6,10,"Yes",,,,,,,"Yes"
3069,,,,,,,,,,"Yes",,,"Yes",6.7,26,"Yes",,,,,,,"Yes"
3070,,,"Yes",,,,,,,"Yes",,,,2.8,27,,,,"Yes",,,"Yes",
3071,,,,,,,,,,,,"Yes",,1.7,74,,,"Yes",,,"Yes",,
3072,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
3073,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
3074,"Yes",,"Yes",,,,"Yes",,"Yes",,,,,8.6,9,"Yes",,,,,,,"Yes"
3077,,,,,,,,,,,,"Yes",,1.7,58,,,"Yes",,,"Yes",,
3078,,,,,,,,,,,,"Yes",,1.7,60,,,"Yes",,,"Yes",,
3079,,,"Yes",,,,"Yes",,,,,,,2.6,60,,,"Yes",,,"Yes",,
3080,,"Yes","Yes","Yes",,,,"Yes",,"Yes",,,,7.7,10,"Yes",,,,,,,"Yes"
3081,,,,,,"Yes",,,,,,,,3.1,41,,,,"Yes",,,"Yes",
3082,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3084,,"Yes",,"Yes",,"Yes",,,,,,,,6.5,12,"Yes",,,,,,,"Yes"
3085,,,,,,"Yes",,"Yes",,,"Yes","Yes",,10.4,74,,"Yes",,,,,,"Yes"
3086,,,,,,,"Yes",,,,,"Yes","Yes",8.2,3,"Yes",,,,,,,"Yes"
3087,,"Yes",,"Yes",,,,"Yes",,,,,"Yes",10,5,"Yes",,,,,,,"Yes"
3089,,,,,,,,,,"Yes",,,,1.6,69,,,"Yes",,,"Yes",,
3090,,,,,,,,,"Yes",,"Yes",,,9,74,,"Yes",,,,,,"Yes"
3091,,,"Yes","Yes",,,,"Yes",,,,,"Yes",9.1,13,"Yes",,,,,,,"Yes"
3093,,,,,,,,,,,,,"Yes",5.1,37,,,,"Yes",,,"Yes",
3097,,,,,,,,,,,,"Yes",,1.7,51,,,,"Yes",,"Yes",,
3100,,,,,,,,"Yes",,,"Yes","Yes",,7.3,74,,"Yes",,,,,,"Yes"
3101,,,,,,"Yes",,,,,,,,3.1,43,,,,"Yes",,,"Yes",
3103,,,,,,,,,,,,"Yes",,1.7,66,,,"Yes",,,"Yes",,
3104,,,,"Yes",,,,,"Yes",,,"Yes","Yes",13,17,"Yes",,,,,,,"Yes"
3105,,,,,"Yes",,,,,,,,"Yes",7.3,3,"Yes",,,,,,,"Yes"
3106,,,,,,"Yes",,,,,,,,3.1,26,,,,"Yes",,,"Yes",
3108,,,,,,,"Yes",,,,,"Yes",,3.1,26,,,,"Yes",,,"Yes",
3109,,,,,,,,"Yes",,,,,"Yes",6.6,4,"Yes",,,,,,,"Yes"
3110,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
3112,,"Yes",,,,,,,,,,"Yes",,3.8,45,,,,"Yes",,,"Yes",
3113,"Yes",,,"Yes",,,,,,"Yes","Yes","Yes",,9.8,74,,"Yes",,,,,,"Yes"
3114,,,,,"Yes",,,,,,,"Yes",,3.9,32,,,,"Yes",,,"Yes",
3116,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
3117,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
3118,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
3119,"Yes",,,"Yes",,"Yes",,,,"Yes",,,,7.1,3,"Yes",,,,,,,"Yes"
3120,,,,,"Yes","Yes",,"Yes",,,,"Yes",,8.5,19,"Yes",,,,,,,"Yes"
3121,,,,,,,,,,,,"Yes",,1.7,52,,,"Yes",,,"Yes",,
3123,,,,,,,,,,,"Yes",,,4.1,74,,,"Yes",,,,"Yes",
3124,"Yes",,,"Yes",,,,,,,,,,2.4,67,,,"Yes",,,"Yes",,
3125,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
3126,,,,,,,"Yes",,"Yes",,"Yes",,,10.4,74,,"Yes",,,,,,"Yes"
3128,,,,,,,"Yes",,"Yes",,,,,6.3,20,"Yes",,,,,,,"Yes"
3129,,,,,,"Yes",,,,,,,,3.1,32,,,,"Yes",,,"Yes",
3131,,,,,,,,,,,,"Yes",,1.7,72,,,"Yes",,,"Yes",,
3133,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3134,,,,"Yes",,"Yes",,,,,,,,4.4,40,,,,"Yes",,,"Yes",
3135,,,"Yes",,,,,,,,,"Yes",,2.9,33,,,,"Yes",,,"Yes",
3136,,,,"Yes",,,"Yes",,,"Yes",,,,4.3,43,,,,"Yes",,,"Yes",
3140,"Yes","Yes",,,,,,"Yes",,,,,,4.7,45,,,,"Yes",,,"Yes",
3141,,"Yes",,,,,,"Yes",,,,,,3.6,49,,,,"Yes",,,"Yes",
3142,"Yes",,,,,,"Yes",,,"Yes",,"Yes",,5.8,76,,,"Yes",,,,"Yes",
3145,,,,,"Yes",,,,"Yes",,,,,7.1,13,"Yes",,,,,,,"Yes"
3146,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
3147,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3148,,,"Yes",,"Yes","Yes",,,,,,,,6.5,24,"Yes",,,,,,,"Yes"
3149,,,"Yes",,,,,"Yes",,"Yes",,"Yes",,6,12,"Yes",,,,,,,"Yes"
3150,,,"Yes","Yes",,,,"Yes",,,,,,4,37,,,,"Yes",,,"Yes",
3151,,,,"Yes","Yes",,,,"Yes",,,,,8.4,24,"Yes",,,,,,,"Yes"
3152,,,,,,,,,"Yes",,,,,4.9,47,,,,"Yes",,,"Yes",
3153,,,,"Yes",,,,"Yes",,,,,,2.8,27,,,,"Yes",,,"Yes",
3154,,,,"Yes","Yes","Yes",,,,,,,,6.6,5,"Yes",,,,,,,"Yes"
3156,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
3157,,"Yes","Yes","Yes","Yes",,,"Yes",,,"Yes",,"Yes",17.5,74,,"Yes",,,,,,"Yes"
3158,,,,,,,,"Yes",,,,,,1.5,69,,,"Yes",,,"Yes",,
3159,,"Yes","Yes",,,,,,,,,,,3.3,31,,,,"Yes",,,"Yes",
3160,,,,,"Yes",,"Yes",,,"Yes",,,,5.2,52,,,,"Yes",,,"Yes",
3162,,,"Yes","Yes",,,,,,,,,,2.5,64,,,"Yes",,,"Yes",,
3163,,,,,,,,,,,"Yes",,,4.1,74,,,"Yes",,,,"Yes",
3168,"Yes","Yes","Yes","Yes",,,,"Yes",,,,,,7.2,2,"Yes",,,,,,,"Yes"
3169,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
3170,,,,"Yes",,,"Yes",,,,,,,2.7,58,,,"Yes",,,"Yes",,
3171,,"Yes",,,,"Yes",,,,,,,,5.2,75,,,"Yes",,,,"Yes",
3172,,,,,,,,"Yes",,,,,,1.5,55,,,"Yes",,,"Yes",,
3173,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3174,,,"Yes",,,,,,,,,,,1.2,5,,,,,"Yes","Yes",,
3175,,,,,"Yes",,"Yes",,,"Yes","Yes",,,9.3,74,,"Yes",,,,,,"Yes"
3176,,,"Yes",,,,"Yes","Yes",,,"Yes","Yes","Yes",15,74,,"Yes",,,,,,"Yes"
3178,,,"Yes","Yes",,,,,,"Yes",,,,4.1,31,,,,"Yes",,,"Yes",
3179,,,"Yes",,,,"Yes",,"Yes",,,,,7.5,10,"Yes",,,,,,,"Yes"
3180,,,,,,,"Yes",,,"Yes",,"Yes",,4.7,44,,,,"Yes",,,"Yes",
3182,,,,,,"Yes",,,,"Yes",,,,4.7,27,,,,"Yes",,,"Yes",
3183,"Yes",,"Yes",,,,,"Yes",,"Yes",,,,5.4,69,,,"Yes",,,,"Yes",
3185,,,,,,,,,,"Yes",,"Yes",,3.3,46,,,,"Yes",,,"Yes",
3186,,,"Yes",,,,,,,"Yes",,,"Yes",7.9,17,"Yes",,,,,,,"Yes"
3187,,,,,"Yes",,,,,,,,,2.2,63,,,"Yes",,,"Yes",,
3190,,,,"Yes","Yes","Yes",,,"Yes",,,,,11.5,2,"Yes",,,,,,,"Yes"
3191,,,,,,,,,"Yes",,"Yes",,,9,74,,"Yes",,,,,,"Yes"
3192,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
3193,,,"Yes","Yes",,,,"Yes",,,,,"Yes",9.1,20,"Yes",,,,,,,"Yes"
3194,,,,,"Yes",,,,,,,,,2.2,59,,,"Yes",,,"Yes",,
3195,"Yes",,,"Yes",,,,,,,"Yes","Yes",,8.2,74,,"Yes",,,,,,"Yes"
3196,,,"Yes",,"Yes",,,,"Yes",,,,,8.3,1,"Yes",,,,,,,"Yes"
3197,,,"Yes","Yes",,,,,,,"Yes",,"Yes",11.7,74,,"Yes",,,,,,"Yes"
3198,,,"Yes",,,,,,,,"Yes",,,5.3,74,,,"Yes",,,,"Yes",
3199,"Yes",,,"Yes",,,,,,"Yes","Yes",,,8.1,74,,"Yes",,,,,,"Yes"
3203,,,,,"Yes","Yes","Yes",,,,,,"Yes",11.8,25,"Yes",,,,,,,"Yes"
3204,,"Yes",,"Yes","Yes",,,,,,,,,5.6,76,,,"Yes",,,,"Yes",
3205,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3206,,,,,,,,,,,,"Yes",,1.7,68,,,"Yes",,,"Yes",,
3207,,,"Yes","Yes","Yes",,,,,,,"Yes","Yes",11.5,3,"Yes",,,,,,,"Yes"
3208,"Yes",,,,"Yes",,,,,,"Yes",,,7.4,74,,"Yes",,,,,,"Yes"
3209,"Yes","Yes","Yes","Yes",,,,,,"Yes",,,"Yes",12.4,8,"Yes",,,,,,,"Yes"
3210,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3211,,,,,,,,,,"Yes",,,,1.6,56,,,"Yes",,,"Yes",,
3214,,"Yes",,"Yes",,,,,,,,"Yes","Yes",10.2,15,"Yes",,,,,,,"Yes"
3215,,,,"Yes",,,,,,,,"Yes",,3,37,,,,"Yes",,,"Yes",
3216,,,,"Yes",,,,,"Yes",,"Yes",,,10.3,74,,"Yes",,,,,,"Yes"
3217,,,"Yes",,,,,,,,,"Yes",,2.9,42,,,,"Yes",,,"Yes",
3218,,,,"Yes",,,,,,,,,,1.3,8,,,,,"Yes","Yes",,
3219,,,,,,,,,,,,,"Yes",5.1,48,,,,"Yes",,,"Yes",
3220,,,,"Yes",,,"Yes",,,,,,"Yes",7.8,7,"Yes",,,,,,,"Yes"
3221,,,"Yes","Yes","Yes",,,"Yes",,,"Yes",,,10.3,74,,"Yes",,,,,,"Yes"
3222,,,"Yes","Yes",,,,,,"Yes",,,,4.1,49,,,,"Yes",,,"Yes",
3223,,,"Yes",,"Yes",,,"Yes",,"Yes",,,"Yes",11.6,6,"Yes",,,,,,,"Yes"
3224,,,,,"Yes",,,,"Yes",,,,,7.1,3,"Yes",,,,,,,"Yes"
3225,,,,,,,,,,,,"Yes",,1.7,63,,,"Yes",,,"Yes",,
